date,sales,promo,is_holiday
2023-01-01,380.2,0,1
2023-01-02,236.7,0,0
2023-01-03,232.4,0,0
2023-01-04,235.2,0,0
2023-01-05,345.8,1,0
2023-01-06,223.9,0,0
2023-01-07,273.5,0,0
2023-01-08,283.9,0,0
2023-01-09,240.5,0,0
2023-01-10,255.3,0,0
2023-01-11,221.1,0,0
2023-01-13,229.0,0,0
2023-01-14,288.6,0,0
2023-01-15,256.6,0,0
2023-01-16,301.8,1,0
2023-01-17,252.0,0,0
2023-01-18,251.2,0,0
2023-01-19,317.7,1,0
2023-01-20,236.4,0,0
2023-01-21,285.3,0,0
2023-01-22,343.9,1,0
2023-01-23,236.3,0,0
2023-01-24,217.7,0,0
2023-01-25,273.2,1,0
2023-01-26,237.4,0,0
2023-01-27,235.8,0,0
2023-01-28,285.3,0,0
2023-01-29,293.8,0,0
2023-01-30,245.2,0,0
2023-01-31,246.7,0,0
2023-02-01,245.6,0,0
2023-02-02,266.1,0,0
2023-02-03,250.2,0,0
2023-02-04,279.5,0,0
2023-02-05,274.5,0,0
2023-02-06,251.1,0,0
2023-02-07,222.1,0,0
2023-02-08,231.6,0,0
2023-02-09,223.4,0,0
2023-02-10,226.3,0,0
2023-02-11,,0,0
2023-02-12,291.2,0,0
2023-02-13,258.2,0,0
2023-02-14,242.7,0,0
2023-02-15,227.0,0,0
2023-02-16,228.5,0,0
2023-02-17,,1,0
2023-02-18,235.8,0,0
2023-02-19,,0,0
2023-02-20,224.9,0,0
2023-02-21,227.8,0,0
2023-02-22,255.1,0,0
2023-02-23,244.6,0,0
2023-02-24,240.5,0,0
2023-02-25,250.3,0,0
2023-02-26,273.8,0,0
2023-02-27,219.6,0,0
2023-02-28,218.2,0,0
2023-03-01,211.6,0,0
2023-03-02,290.3,1,0
2023-03-03,261.6,0,0
2023-03-04,238.5,0,0
2023-03-05,258.5,0,0
2023-03-06,221.4,0,0
2023-03-07,243.7,0,0
2023-03-08,262.6,1,0
2023-03-09,0.0,1,0
2023-03-10,224.8,0,0
2023-03-11,243.4,0,0
2023-03-12,259.4,0,0
2023-03-13,213.3,0,0
2023-03-14,230.4,0,0
2023-03-15,241.2,0,0
2023-03-16,213.9,0,0
2023-03-17,226.6,0,0
2023-03-18,244.7,0,0
2023-03-19,253.4,0,0
2023-03-20,219.6,0,0
2023-03-21,236.8,0,0
2023-03-22,241.1,0,0
2023-03-23,,0,0
2023-03-24,212.5,0,0
2023-03-25,257.3,0,0
2023-03-26,271.0,0,0
2023-03-27,243.1,0,0
2023-03-28,198.6,0,0
2023-03-29,203.0,0,0
2023-03-30,295.4,1,0
2023-03-30,295.4,1,0
2023-03-31,226.0,0,0
2023-04-01,281.8,0,0
2023-04-02,3352.0,1,0
2023-04-03,206.4,0,0
2023-04-04,287.8,1,0
2023-04-05,231.5,0,0
2023-04-06,201.0,0,0
2023-04-07,226.5,0,0
2023-04-08,266.6,0,0
2023-04-09,257.7,0,0
2023-04-10,199.7,0,0
2023-04-11,230.0,0,0
2023-04-12,206.5,0,0
2023-04-13,214.1,0,0
2023-04-14,212.3,0,0
2023-04-15,269.1,0,0
2023-04-16,235.0,0,0
2023-04-17,215.4,0,0
2023-04-18,214.3,0,0
2023-04-19,213.5,0,0
2023-04-20,195.3,0,0
2023-04-21,188.0,0,0
2023-04-22,244.1,0,0
2023-04-23,263.6,0,0
2023-04-24,202.9,0,0
2023-04-25,223.2,0,0
